Gene
VPS72
WBP2
WDR5
WDR5B
SKIC8
WDR82
XBP1
YEATS2
YEATS4
ZBTB33
ZBTB4
ZBTB7B
ZBTB7C
ZMPSTE24
ZMYND11
ZMYND8
ZNHIT1
ZZZ3
